gene	mean_expr	CV	log2FC	padj	description
g2930	361.5	0.1060	-0.162	0.8673	
g10694	438.1	0.1993	-0.143	0.8936	sp|Q16543|CDC37_HUMAN Hsp90 co-chaperone Cdc37 OS=Homo sapiens OX=9606 GN=CDC37 PE=1 SV=1
g13831	395.9	0.1481	0.244	0.7581	sp|Q75JB5|TM14_DICDI Transmembrane protein 14 homolog OS=Dictyostelium discoideum OX=44689 GN=DDB_G0271790 PE=3 SV=1
g13234	470.9	0.2393	0.203	0.7869	sp|P14091|CATE_HUMAN Cathepsin E OS=Homo sapiens OX=9606 GN=CTSE PE=1 SV=3
g9755	490.9	0.2637	-0.612	0.0800	sp|Q6ZFH6|RCN11_ORYSJ Beta-1,2-xylosyltransferase RCN11 OS=Oryza sativa subsp. japonica OX=39947 GN=RCN11 PE=1 SV=1
g8526	377.0	0.1253	0.016	0.9892	sp|Q9GZR1|SENP6_HUMAN Sentrin-specific protease 6 OS=Homo sapiens OX=9606 GN=SENP6 PE=1 SV=2
g6809	345.2	0.0870	0.051	0.9680	sp|Q6K3R5|NCL2_ORYSJ Sodium/calcium exchanger NCL2 OS=Oryza sativa subsp. japonica OX=39947 GN=NCL2 PE=2 SV=2
g14439	343.6	0.0853	-0.056	0.9628	sp|P53599|SSK2_YEAST MAP kinase kinase kinase SSK2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSK2 PE=1 SV=1
g9542	338.8	0.0795	0.135	0.9004	sp|Q28288|STXB2_CANLF Syntaxin-binding protein 2 OS=Canis lupus familiaris OX=9615 GN=STXBP2 PE=2 SV=1
g10481	423.1	0.1826	-0.283	0.6697	
g10879	533.9	0.3180	0.640	0.1138	
g13926	500.1	0.2768	0.554	0.1744	sp|Q54LW0|PADA_DICDI Prestalk A differentiation protein A OS=Dictyostelium discoideum OX=44689 GN=padA PE=3 SV=2
g5674	451.4	0.2177	-0.542	0.2244	sp|Q8CGC6|RBM28_MOUSE RNA-binding protein 28 OS=Mus musculus OX=10090 GN=Rbm28 PE=1 SV=4
g14434	383.7	0.1352	-0.350	0.4913	
g7548	427.5	0.1897	0.372	0.4121	
g14209	449.4	0.2165	0.256	0.7916	sp|Q2KJI3|CYRIB_BOVIN CYFIP-related Rac1 interactor B OS=Bos taurus OX=9913 GN=CYRIB PE=2 SV=1
g4267	435.8	0.1999	0.261	0.7263	sp|Q8LDB8|RING2_ARATH E3 ubiquitin-protein ligase At1g63170 OS=Arabidopsis thaliana OX=3702 GN=At1g63170 PE=2 SV=2
g13197	378.2	0.1296	0.252	0.7531	sp|A4RJV3|MDV1_PYRO7 Mitochondrial division protein 1 OS=Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) OX=242507 GN=MDV1 PE=3 SV=3
g15512	364.8	0.1133	-0.215	0.8017	sp|Q5RBD5|IVD_PONAB Isovaleryl-CoA dehydrogenase, mitochondrial OS=Pongo abelii OX=9601 GN=IVD PE=2 SV=1
g14098	393.2	0.1482	0.002	0.9978	sp|Q12118|SGT2_YEAST Small glutamine-rich tetratricopeptide repeat-containing protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SGT2 PE=1 SV=1
g5935	370.3	0.1203	0.177	0.8459	sp|Q8C753|KATIP_MOUSE Katanin-interacting protein OS=Mus musculus OX=10090 GN=Katnip PE=1 SV=2
g9137	535.7	0.3230	-0.042	0.9740	
g11783	361.1	0.1092	0.167	0.8703	sp|Q5M7K3|G6PT3_XENTR Glucose-6-phosphate exchanger SLC37A2 OS=Xenopus tropicalis OX=8364 GN=slc37a2 PE=2 SV=1
g14063	421.6	0.1834	0.304	0.6831	sp|Q9GZP9|DERL2_HUMAN Derlin-2 OS=Homo sapiens OX=9606 GN=DERL2 PE=1 SV=1
g15555	539.3	0.3292	-0.042	0.9742	sp|Q9W6X3|CH10_ORYLA 10 kDa heat shock protein, mitochondrial OS=Oryzias latipes OX=8090 GN=hspe1 PE=3 SV=1
g13725	417.2	0.1793	-0.026	0.9848	sp|Q99ND9|RWDD1_RAT RWD domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Rwdd1 PE=2 SV=1
g4070	610.1	0.4165	0.400	0.3584	sp|O65201|ACOX2_ARATH Acyl-coenzyme A oxidase 2, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=ACX2 PE=1 SV=2
g3201	496.3	0.2770	0.550	0.1263	
g9144	406.3	0.1666	-0.182	0.8282	sp|O61492|FLOT2_DROME Flotillin-2 OS=Drosophila melanogaster OX=7227 GN=Flo2 PE=2 SV=3
g1688	386.7	0.1427	-0.055	0.9666	
g9211	547.0	0.3400	0.443	0.4567	sp|Q1RMH9|DNJC2_BOVIN DnaJ homolog subfamily C member 2 OS=Bos taurus OX=9913 GN=DNAJC2 PE=2 SV=1
g15908	367.9	0.1196	0.292	0.6331	sp|Q9UP83|COG5_HUMAN Conserved oligomeric Golgi complex subunit 5 OS=Homo sapiens OX=9606 GN=COG5 PE=1 SV=4
g1790	384.7	0.1412	0.206	0.7775	
g7012	381.0	0.1371	-0.097	0.9343	
g3225	381.0	0.1372	0.196	0.8336	
g4928	425.7	0.1927	-0.474	0.2807	sp|Q945M1|NDUB9_ARATH NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 OS=Arabidopsis thaliana OX=3702 GN=CIB22 PE=1 SV=1
g641	389.9	0.1494	-0.186	0.8184	
g7805	628.3	0.4447	-0.543	0.0830	
g9294	325.6	0.0702	0.025	0.9848	
g4033	483.2	0.2657	-0.063	0.9614	sp|O00154|BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3
g8745	447.6	0.2216	-0.112	0.9159	sp|Q9NRZ9|HELLS_HUMAN Lymphoid-specific helicase OS=Homo sapiens OX=9606 GN=HELLS PE=1 SV=1
g10346	347.0	0.0969	-0.103	0.9334	
g1005	389.3	0.1495	0.411	0.3714	sp|Q9NZN3|EHD3_HUMAN EH domain-containing protein 3 OS=Homo sapiens OX=9606 GN=EHD3 PE=1 SV=2
g887	386.1	0.1457	0.292	0.6441	sp|Q94KD8|BXL2_ARATH Probable beta-D-xylosidase 2 OS=Arabidopsis thaliana OX=3702 GN=BXL2 PE=2 SV=1
g13221	472.4	0.2529	0.433	0.2717	sp|F4I2H7|TPX2_ARATH Protein TPX2 OS=Arabidopsis thaliana OX=3702 GN=TPX2 PE=1 SV=1
g13152	342.7	0.0920	-0.155	0.8777	sp|Q949M9|GET3A_ARATH ATPase GET3A OS=Arabidopsis thaliana OX=3702 GN=GET3A PE=1 SV=1
g7469	371.6	0.1289	-0.201	0.8226	
g9126	336.7	0.0856	0.105	0.9289	sp|Q8Z4M8|YHFR_SALTI Uncharacterized protein YfhR OS=Salmonella typhi OX=90370 GN=yhfR PE=3 SV=1
g5391	494.4	0.2819	0.573	0.2225	
g3863	441.4	0.2161	0.215	0.8559	sp|O15995|CCNE_HEMPU G1/S-specific cyclin-E OS=Hemicentrotus pulcherrimus OX=7650 GN=CYCE PE=2 SV=1
g15655	349.4	0.1016	0.188	0.8313	
g6591	412.9	0.1807	0.027	0.9849	sp|Q8RXP6|WAV2_ARATH Alpha/beta hydrolase domain-containing protein WAV2 OS=Arabidopsis thaliana OX=3702 GN=WAV2 PE=2 SV=1
g10471	401.5	0.1667	-0.408	0.4438	sp|Q84M85|LOGL5_ORYSJ Probable cytokinin riboside 5'-monophosphate phosphoribohydrolase LOGL5 OS=Oryza sativa subsp. japonica OX=39947 GN=LOGL5 PE=2 SV=1
g2017	504.9	0.2960	-0.457	0.2358	
g4	383.3	0.1455	0.194	0.8065	sp|Q9FG38|SNX1_ARATH Sorting nexin 1 OS=Arabidopsis thaliana OX=3702 GN=SNX1 PE=1 SV=1
g3448	519.0	0.3152	-0.594	0.1689	sp|O95714|HERC2_HUMAN E3 ubiquitin-protein ligase HERC2 OS=Homo sapiens OX=9606 GN=HERC2 PE=1 SV=2
g1362	492.2	0.2819	0.040	0.9764	
g201	465.8	0.2490	-0.027	0.9841	sp|Q05022|RRP5_YEAST rRNA biogenesis protein RRP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RRP5 PE=1 SV=1
g190	452.5	0.2328	-0.256	0.7798	sp|P55577|Y4NA_SINFN Uncharacterized peptidase y4nA OS=Sinorhizobium fredii (strain NBRC 101917 / NGR234) OX=394 GN=NGR_a02410 PE=3 SV=1
g4970	409.2	0.1789	0.388	0.4610	sp|Q9P1Q0|VPS54_HUMAN Vacuolar protein sorting-associated protein 54 OS=Homo sapiens OX=9606 GN=VPS54 PE=1 SV=2
g1942	379.1	0.1418	-0.142	0.8777	
g6547	535.8	0.3384	0.173	0.8683	sp|Q4HZ47|ESF2_GIBZE Pre-rRNA-processing protein ESF2 OS=Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) OX=229533 GN=ESF2 PE=3 SV=1
g8621	492.8	0.2851	0.350	0.6888	sp|P33527|MRP1_HUMAN Multidrug resistance-associated protein 1 OS=Homo sapiens OX=9606 GN=ABCC1 PE=1 SV=3
g14126	339.0	0.0921	0.006	0.9952	sp|Q5EA97|S38AB_BOVIN Putative sodium-coupled neutral amino acid transporter 11 OS=Bos taurus OX=9913 GN=SLC38A11 PE=2 SV=1
g11304	469.9	0.2565	-0.108	0.9314	
g10559	424.6	0.2005	-0.302	0.5691	sp|P58781|ADA2_DANRE Adenosine deaminase 2-A OS=Danio rerio OX=7955 GN=ada2a PE=2 SV=2
g7660	472.9	0.2619	0.379	0.6197	sp|B0XWT0|HASA_ASPFC C6 finger domain transcription factor hasA OS=Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) OX=451804 GN=hasA PE=2 SV=1
g11788	386.5	0.1532	0.231	0.7488	sp|Q5ZKV9|VPS50_CHICK Syndetin OS=Gallus gallus OX=9031 GN=VPS50 PE=2 SV=1
g10350	674.9	0.5171	-0.408	0.3674	sp|P51659|DHB4_HUMAN Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens OX=9606 GN=HSD17B4 PE=1 SV=3
g3164	432.5	0.2121	0.330	0.7002	sp|A0A097ZPD9|ANDF_EMEVA Dioxygenase andF OS=Emericella variicolor OX=1549217 GN=andF PE=1 SV=1
g14047	358.2	0.1183	0.161	0.8703	sp|Q10332|YBMA_SCHPO Uncharacterized ATP-dependent helicase C582.10c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC582.10c PE=1 SV=1
g1802	432.3	0.2118	-0.255	0.6884	sp|P67810|SC11A_BOVIN Signal peptidase complex catalytic subunit SEC11A OS=Bos taurus OX=9913 GN=SEC11A PE=2 SV=1
g10715	356.6	0.1167	-0.078	0.9482	sp|P0C0L1|APX6_ORYSJ Probable L-ascorbate peroxidase 6, chloroplastic/mitochondrial OS=Oryza sativa subsp. japonica OX=39947 GN=APX6 PE=2 SV=1
g15100	415.0	0.1905	0.075	0.9469	sp|A0AAR7|CCAMK_LOTJA Calcium and calcium/calmodulin-dependent serine/threonine-protein kinase OS=Lotus japonicus OX=34305 GN=CCAMK PE=1 SV=1
g10116	557.5	0.3716	0.386	0.3429	
g11717	351.6	0.1114	-0.159	0.8668	sp|Q08CD5|RXLT1_DANRE Ribitol-5-phosphate xylosyltransferase 1 OS=Danio rerio OX=7955 GN=rxylt1 PE=2 SV=2
g6652	639.9	0.4771	-0.287	0.6756	sp|Q50EK3|C04C1_PINTA Cytochrome P450 704C1 OS=Pinus taeda OX=3352 GN=CYP704C1 PE=2 SV=1
g9541	367.3	0.1320	0.148	0.8819	
g13145	306.5	0.0552	0.059	0.9623	
g3260	364.0	0.1289	0.335	0.5468	
g11603	377.3	0.1458	0.267	0.7008	sp|Q6GNG3|TMX3_XENLA Protein disulfide-isomerase TMX3 OS=Xenopus laevis OX=8355 GN=tmx3 PE=2 SV=1
g5218	384.6	0.1552	0.216	0.7968	
g12732	308.4	0.0584	-0.149	0.8797	sp|Q5TZ07|PLPP6_DANRE Polyisoprenoid diphosphate/phosphate phosphohydrolase PLPP6 OS=Danio rerio OX=7955 GN=plpp6 PE=2 SV=1
g1653	353.8	0.1162	0.188	0.8267	sp|Q9LU89|2A5N_ARATH Serine/threonine protein phosphatase 2A 59 kDa regulatory subunit B' eta isoform OS=Arabidopsis thaliana OX=3702 GN=B'ETA PE=1 SV=1
g3107	370.7	0.1377	0.091	0.9439	
g12479	839.3	0.7338	-0.344	0.3869	sp|Q08890|IDS_MOUSE Iduronate 2-sulfatase OS=Mus musculus OX=10090 GN=Ids PE=2 SV=3
g12287	358.4	0.1224	-0.186	0.8335	
g9952	672.8	0.5226	0.467	0.2793	
g15587	413.8	0.1933	0.240	0.7498	
g10942	393.1	0.1672	-0.262	0.6972	sp|Q84UI5|MPK1_ORYSJ Mitogen-activated protein kinase 1 OS=Oryza sativa subsp. japonica OX=39947 GN=MPK1 PE=1 SV=1
g1505	383.3	0.1550	0.185	0.8591	sp|Q7XZU3|SAC1_ARATH Phosphatidylinositol-3-phosphatase SAC1 OS=Arabidopsis thaliana OX=3702 GN=SAC1 PE=1 SV=1
g5897	376.6	0.1465	0.207	0.8333	sp|Q6NMN6|SPNS1_ARATH Probable sphingolipid transporter spinster homolog 1 OS=Arabidopsis thaliana OX=3702 GN=At5g65687 PE=1 SV=1
g12988	387.7	0.1608	0.317	0.6037	sp|Q697L1|TRPV1_CANLF Transient receptor potential cation channel subfamily V member 1 OS=Canis lupus familiaris OX=9615 GN=TRPV1 PE=2 SV=1
g13163	343.2	0.1041	0.126	0.9135	
g8188	478.1	0.2761	-0.189	0.8324	
g3855	423.4	0.2068	0.088	0.9362	sp|Q259G4|PMM_ORYSI Phosphomannomutase OS=Oryza sativa subsp. indica OX=39946 GN=PMM PE=3 SV=1
g7037	366.7	0.1354	-0.085	0.9474	sp|Q09433|THIO1_CAEEL Thioredoxin-1 OS=Caenorhabditis elegans OX=6239 GN=trx-1 PE=1 SV=1
g251	582.0	0.4106	0.437	0.4928	sp|E1V7W0|DOEB_HALED N-alpha-acetyl-L-2,4-diaminobutyric acid deacetylase OS=Halomonas elongata (strain ATCC 33173 / DSM 2581 / NBRC 15536 / NCIMB 2198 / 1H9) OX=768066 GN=doeB PE=1 SV=1
g6175	337.3	0.0979	-0.111	0.9175	sp|Q9QX72|SEBP2_RAT Selenocysteine insertion sequence-binding protein 2 OS=Rattus norvegicus OX=10116 GN=Secisbp2 PE=1 SV=1
g10491	390.7	0.1662	-0.154	0.8809	sp|Q5FUL2|OBG_GLUOX GTPase Obg OS=Gluconobacter oxydans (strain 621H) OX=290633 GN=obg PE=3 SV=2
g3375	508.4	0.3172	0.526	0.2960	sp|Q06003|GOLI_DROME E3 ubiquitin-protein ligase goliath OS=Drosophila melanogaster OX=7227 GN=gol PE=1 SV=3
g7667	380.4	0.1535	0.128	0.9110	sp|Q5ZLG9|WDR59_CHICK GATOR2 complex protein WDR59 OS=Gallus gallus OX=9031 GN=WDR59 PE=2 SV=1
g7578	586.7	0.4181	-0.814	0.1389	
g689	402.4	0.1822	-0.217	0.7581	sp|Q9Y899|KCC1B_EMEND Calcium/calmodulin-dependent protein kinase cmkB OS=Emericella nidulans OX=162425 GN=cmkB PE=1 SV=1
g11489	342.7	0.1057	-0.140	0.9058	sp|A0A3L6DPG1|SGT1_MAIZE Protein SGT1 homolog OS=Zea mays OX=4577 GN=SGT1 PE=1 SV=1
g1490	354.3	0.1208	-0.268	0.6747	sp|Q94C12|NDBAB_ARATH NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10-B OS=Arabidopsis thaliana OX=3702 GN=At3g18410 PE=1 SV=1
g14763	368.8	0.1396	0.072	0.9600	sp|Q9TW28|MYOM_DICDI Myosin-M heavy chain OS=Dictyostelium discoideum OX=44689 GN=myoM PE=1 SV=1
g6839	413.0	0.1965	-0.165	0.8567	sp|P58114|Y3178_CAUVC Pirin-like protein CC_3178 OS=Caulobacter vibrioides (strain ATCC 19089 / CIP 103742 / CB 15) OX=190650 GN=CC_3178 PE=3 SV=1
g677	482.2	0.2859	0.257	0.6772	
g2539	309.8	0.0645	-0.052	0.9680	sp|Q54J73|PAP_DICDI Poly(A) polymerase OS=Dictyostelium discoideum OX=44689 GN=papA PE=3 SV=1
g15348	303.1	0.0560	-0.040	0.9740	
g15409	467.1	0.2667	0.356	0.5144	
g10311	438.1	0.2297	-0.204	0.8683	
g6404	425.8	0.2141	0.079	0.9474	sp|Q9LY56|YIPL4_ARATH Protein yippee-like At3g55890 OS=Arabidopsis thaliana OX=3702 GN=At3g55890 PE=2 SV=1
g6811	332.6	0.0948	0.092	0.9379	
g7445	348.9	0.1161	0.072	0.9577	sp|Q9Y113|NELFB_DROME Negative elongation factor B OS=Drosophila melanogaster OX=7227 GN=NELF-B PE=1 SV=1
g6618	459.3	0.2586	-0.119	0.9041	sp|P97493|THIOM_MOUSE Thioredoxin, mitochondrial OS=Mus musculus OX=10090 GN=Txn2 PE=1 SV=1
g9019	340.8	0.1059	-0.035	0.9781	sp|Q3SZL6|DCP1B_BOVIN mRNA-decapping enzyme 1B OS=Bos taurus OX=9913 GN=DCP1B PE=2 SV=1
g13705	379.0	0.1553	-0.166	0.8453	sp|Q54UC9|KIF3_DICDI Kinesin-related protein 3 OS=Dictyostelium discoideum OX=44689 GN=kif3 PE=1 SV=1
g13510	436.5	0.2299	0.288	0.6946	sp|Q6PB75|PAPD7_MOUSE Terminal nucleotidyltransferase 4A OS=Mus musculus OX=10090 GN=Tent4a PE=2 SV=3
g6417	350.4	0.1189	-0.020	0.9857	sp|O23244|PPA25_ARATH Purple acid phosphatase 25 OS=Arabidopsis thaliana OX=3702 GN=PAP25 PE=2 SV=2
g14660	455.9	0.2553	-0.011	0.9921	
g5775	383.8	0.1627	-0.157	0.8824	sp|Q54DA8|STIP1_DICDI Protein STIP1 homolog OS=Dictyostelium discoideum OX=44689 GN=sti1 PE=3 SV=1
g2537	480.4	0.2876	-0.135	0.8805	
g5703	479.6	0.2866	0.205	0.8313	sp|Q14739|LBR_HUMAN Delta(14)-sterol reductase LBR OS=Homo sapiens OX=9606 GN=LBR PE=1 SV=2
g8901	407.7	0.1939	0.464	0.3033	sp|Q29RB1|COG4_DANRE Conserved oligomeric Golgi complex subunit 4 OS=Danio rerio OX=7955 GN=cog4 PE=1 SV=1
g12421	505.1	0.3202	-0.798	0.1554	
g893	509.1	0.3254	0.027	0.9831	sp|Q9YHY9|OTC_CHICK Ornithine transcarbamylase, mitochondrial OS=Gallus gallus OX=9031 GN=OTC PE=1 SV=1
g14182	364.8	0.1390	-0.081	0.9457	
g7985	415.6	0.2053	-0.284	0.7430	
g5513	554.8	0.3858	0.690	0.1360	sp|Q86CZ2|DHKK_DICDI Hybrid signal transduction histidine kinase K OS=Dictyostelium discoideum OX=44689 GN=dhkK PE=1 SV=1
g14113	386.4	0.1675	0.208	0.8364	sp|Q55G10|PNCB_DICDI Nicotinate phosphoribosyltransferase OS=Dictyostelium discoideum OX=44689 GN=naprt PE=2 SV=1
g509	367.3	0.1431	0.409	0.3714	sp|Q9V410|LZTR1_DROME Leucine-zipper-like transcriptional regulator 1 homolog OS=Drosophila melanogaster OX=7227 GN=Lztr1 PE=1 SV=1
g230	486.5	0.2984	-0.423	0.4153	
g5426	362.4	0.1373	0.301	0.6037	sp|F1NQJ3|PMS2_CHICK Mismatch repair endonuclease PMS2 OS=Gallus gallus OX=9031 GN=PMS2 PE=2 SV=3
g3619	439.7	0.2377	0.483	0.2216	sp|F4JY12|GFS12_ARATH Protein GFS12 OS=Arabidopsis thaliana OX=3702 GN=GFS12 PE=1 SV=1
g12759	356.8	0.1306	0.273	0.6719	sp|Q869V1|NRAM1_DICDI Metal transporter nramp1 homolog OS=Dictyostelium discoideum OX=44689 GN=nramp1 PE=2 SV=1
g9232	330.2	0.0966	-0.140	0.9036	sp|Q01815|CAC1C_MOUSE Voltage-dependent L-type calcium channel subunit alpha-1C OS=Mus musculus OX=10090 GN=Cacna1c PE=1 SV=1
g3851	603.7	0.4535	-0.363	0.5159	sp|Q9FVR6|Y1222_ARATH Uncharacterized protein At1g32220, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At1g32220 PE=1 SV=1
g891	594.6	0.4419	-0.621	0.0594	sp|Q22A67|DYH3_TETTS Dynein axonemal heavy chain gamma OS=Tetrahymena thermophila (strain SB210) OX=312017 GN=TTHERM_01276420 PE=1 SV=1
g167	308.4	0.0690	0.077	0.9509	
g8132	496.9	0.3153	-0.090	0.9433	
g9183	382.0	0.1655	-0.234	0.7581	
g3976	355.4	0.1312	-0.159	0.8699	
g4003	475.8	0.2890	-0.184	0.8532	
g4012	430.2	0.2295	-0.379	0.4018	sp|P54822|PUR8_MOUSE Adenylosuccinate lyase OS=Mus musculus OX=10090 GN=Adsl PE=1 SV=2
g11453	467.3	0.2782	0.276	0.7264	
g11664	339.2	0.1108	0.168	0.8624	sp|Q54ZR7|SRPRA_DICDI Signal recognition particle receptor subunit alpha OS=Dictyostelium discoideum OX=44689 GN=srpra PE=3 SV=1
g7088	497.9	0.3192	-0.045	0.9740	
g10086	378.3	0.1626	0.181	0.8416	sp|S8G6L4|CDPK7_TOXGM Calcium-dependent protein kinase 7 OS=Toxoplasma gondii (strain ATCC 50611 / Me49) OX=508771 GN=CDPK7 PE=1 SV=1
g2356	368.7	0.1502	0.131	0.9165	sp|Q5R746|YTDC2_PONAB 3'-5' RNA helicase YTHDC2 OS=Pongo abelii OX=9601 GN=YTHDC2 PE=2 SV=2
g12844	404.8	0.1988	-0.344	0.5535	sp|P35601|RFC1_MOUSE Replication factor C subunit 1 OS=Mus musculus OX=10090 GN=Rfc1 PE=1 SV=2
g879	374.8	0.1593	0.381	0.4411	sp|D4ABL6|MCTP1_RAT Multiple C2 and transmembrane domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Mctp1 PE=1 SV=4
g2051	401.4	0.1958	0.468	0.3134	sp|Q922L6|NELFD_MOUSE Negative elongation factor D OS=Mus musculus OX=10090 GN=Nelfcd PE=1 SV=2
g5741	411.6	0.2097	0.099	0.9509	
g3593	364.4	0.1475	-0.096	0.9370	
g14470	421.6	0.2230	0.322	0.6264	
g13880	384.1	0.1741	-0.290	0.6224	sp|Q8HXY4|ODBA_MACFA 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Macaca fascicularis OX=9541 GN=BCKDHA PE=2 SV=1
g11230	303.3	0.0677	-0.013	0.9910	
g11761	430.4	0.2360	0.271	0.6984	sp|Q8VYC8|RIN2_ARATH E3 ubiquitin protein ligase RIN2 OS=Arabidopsis thaliana OX=3702 GN=RIN2 PE=1 SV=1
g1456	637.8	0.5116	0.198	0.8802	sp|Q8UVG0|VM3BE_BOTER Zinc metalloproteinase-disintegrin-like berythractivase OS=Bothrops erythromelas OX=44710 PE=1 SV=1
g10009	358.3	0.1414	0.262	0.7477	sp|Q9FVQ5|OSC18_ARATH Hyperosmolality-gated Ca2+ permeable channel 1.8 OS=Arabidopsis thaliana OX=3702 GN=OSCA1.8 PE=1 SV=1
g8498	330.3	0.1044	0.175	0.8457	sp|Q8TEL6|TP4AP_HUMAN Short transient receptor potential channel 4-associated protein OS=Homo sapiens OX=9606 GN=TRPC4AP PE=1 SV=2
g6010	353.7	0.1360	0.359	0.4926	sp|G5ECR8|GLCM3_CAEEL Putative glucosylceramidase 3 OS=Caenorhabditis elegans OX=6239 GN=gba-3 PE=3 SV=1
g6440	544.6	0.3892	0.310	0.7693	sp|O55135|IF6_MOUSE Eukaryotic translation initiation factor 6 OS=Mus musculus OX=10090 GN=Eif6 PE=1 SV=2
g13236	853.1	0.7986	-0.375	0.5622	sp|Q54ET0|GRLE_DICDI Metabotropic glutamate receptor-like protein E OS=Dictyostelium discoideum OX=44689 GN=grlE PE=2 SV=2
g11391	372.0	0.1607	0.112	0.9210	sp|Q9LT02|PDR2_ARATH Probable manganese-transporting ATPase PDR2 OS=Arabidopsis thaliana OX=3702 GN=PDR2 PE=1 SV=1
g15195	391.2	0.1866	-0.303	0.6819	
g368	331.4	0.1075	-0.035	0.9781	sp|Q8BG93|NUD15_MOUSE Nucleotide triphosphate diphosphatase NUDT15 OS=Mus musculus OX=10090 GN=Nudt15 PE=1 SV=1
g13946	374.0	0.1648	-0.171	0.8387	sp|O32507|GABD_DEIRA Succinate-semialdehyde dehydrogenase [NADP(+)] OS=Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / CCUG 27074 / LMG 4051 / NBRC 15346 / NCIMB 9279 / VKM B-1422 / R1) OX=243230 GN=ssdA PE=3 SV=1
g12062	430.3	0.2399	-0.645	0.1017	sp|Q9Z2I7|SVOP_RAT Synaptic vesicle 2-related protein OS=Rattus norvegicus OX=10116 GN=Svop PE=1 SV=1
g739	362.1	0.1490	0.314	0.5844	
g11147	337.7	0.1165	0.080	0.9474	sp|Q9C6S5|PHSB_ARATH Probable polyamine transporter At1g31830 OS=Arabidopsis thaliana OX=3702 GN=At1g31830 PE=2 SV=1
g1589	671.3	0.5610	0.504	0.3784	sp|Q5HKP6|LIP_STAEQ Lipase OS=Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A) OX=176279 GN=lip PE=3 SV=1
g906	481.2	0.3078	0.292	0.5901	sp|Q54PK4|SMC2_DICDI Structural maintenance of chromosomes protein 2 OS=Dictyostelium discoideum OX=44689 GN=smc2 PE=3 SV=1
g1469	357.9	0.1435	-0.021	0.9856	
g1413	370.6	0.1606	-0.071	0.9609	sp|Q9LSZ9|LCB2A_ARATH Long chain base biosynthesis protein 2a OS=Arabidopsis thaliana OX=3702 GN=LCB2a PE=1 SV=1
g5993	416.9	0.2234	-0.082	0.9509	sp|Q7VDY6|RL1_PROMA Large ribosomal subunit protein uL1 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=rplA PE=3 SV=1
g3967	356.7	0.1432	0.304	0.6584	sp|P53995|APC1_MOUSE Anaphase-promoting complex subunit 1 OS=Mus musculus OX=10090 GN=Anapc1 PE=1 SV=2
g13171	353.2	0.1388	-0.103	0.9404	
g11374	444.3	0.2608	0.193	0.8313	
g14095	457.1	0.2780	-0.555	0.1293	sp|Q9PTS2|DCUP_DANRE Uroporphyrinogen decarboxylase OS=Danio rerio OX=7955 GN=urod PE=1 SV=1
g300	402.3	0.2048	0.434	0.3772	sp|P08414|KCC4_MOUSE Calcium/calmodulin-dependent protein kinase type IV OS=Mus musculus OX=10090 GN=Camk4 PE=1 SV=2
g4726	354.6	0.1410	-0.129	0.9036	sp|Q9Y7X4|YGRG_SCHPO Uncharacterized membrane protein C365.16 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC365.16 PE=4 SV=1
g1334	381.0	0.1768	0.217	0.7661	sp|A9ULZ2|BIR7B_XENLA Baculoviral IAP repeat-containing protein 7-B OS=Xenopus laevis OX=8355 GN=birc7-b PE=2 SV=2
g13475	394.4	0.1948	0.397	0.5442	sp|A9RWC9|M2K1A_PHYPA Mitogen-activated protein kinase kinase 1a OS=Physcomitrium patens OX=3218 GN=MKK1a PE=2 SV=1
g12317	398.6	0.2008	-0.051	0.9666	sp|Q8BWW4|LARP4_MOUSE La-related protein 4 OS=Mus musculus OX=10090 GN=Larp4 PE=1 SV=3
g9563	373.7	0.1675	-0.286	0.7295	sp|P51570|GALK1_HUMAN Galactokinase OS=Homo sapiens OX=9606 GN=GALK1 PE=1 SV=1
